OID_,LAYER,NAME,LAT,LON
0,Anous sp.,B1,-24.111163503699999,152.715874869999993
1,Anous sp.,B2,-24.111151687100001,152.716050480999996
2,Anous sp.,B3,-24.111164777199999,152.716042173000005
3,Anous sp.,B4,-24.111181529600000,152.716606879000011
4,Onychoprion sp.,D1,-24.111206002399999,152.716577612000009
5,Onychoprion sp.,D2,-24.111231747400002,152.715927695999994
6,Anous sp.,B5,-24.111222868900001,152.715945057999988
7,Anous sp.,B6,-24.111242606600001,152.716037312999987
8,Onychoprion sp.,D3,-24.111232248299999,152.716248938999996
9,Crested Tern Other,A1,-24.111244268699998,152.716485099000010
10,Anous sp.,B7,-24.111253249400001,152.716517920000001
11,Anous sp.,B8,-24.111233955800000,152.716581660999992
12,Onychoprion sp.,D4,-24.111213637700001,152.716889519999995
13,Anous sp.,B9,-24.111239590200000,152.716985009000012
14,Anous sp.,B10,-24.111235560899999,152.717126763000010
15,Anous sp.,B11,-24.111243187300001,152.717111509000006
16,Anous sp.,B12,-24.111239431000001,152.717106983000008
17,Anous sp.,B13,-24.111232715200000,152.717105742999991
18,Anous sp.,B14,-24.111238406599998,152.717097558000006
19,Anous sp.,B15,-24.111241764500001,152.717101278000001
20,Anous sp.,B16,-24.111241138400000,152.717095139999998
21,Anous sp.,B17,-24.111246886699998,152.717097372000012
22,Anous sp.,B18,-24.111247228200000,152.717095698000008
23,Anous sp.,B19,-24.111245634599999,152.717093900000009
24,Anous sp.,B20,-24.111246203699999,152.717111880999994
25,Anous sp.,B21,-24.111246715899998,152.717108408999991
26,Anous sp.,B22,-24.111246488300001,152.717105123000010
27,Anous sp.,B23,-24.111248651000000,152.717102455999992
28,Anous sp.,B24,-24.111222599000001,152.717119174999993
29,Anous sp.,B25,-24.111225925700001,152.717128206000012
30,Anous sp.,B26,-24.111225343600001,152.717130833999988
31,Anous sp.,B27,-24.111252761500001,152.717108784999994
32,Anous sp.,B28,-24.111256282399999,152.717098214000004
33,Anous sp.,B29,-24.111264571500001,152.717096432000005
34,Anous sp.,B30,-24.111266733899999,152.717094347999989
35,Anous sp.,B31,-24.111222204499999,152.717147167000007
36,Anous sp.,B32,-24.111243490100001,152.717167318000008
37,Anous sp.,B33,-24.111243433199999,152.717166015999993
38,Anous sp.,B34,-24.111217309899999,152.717173828999989
39,Anous sp.,B35,-24.111306436400000,152.717140097999987
40,Anous sp.,B36,-24.111305013500001,152.717128193000008
41,Anous sp.,B37,-24.111296419599999,152.717128193000008
42,Anous sp.,B38,-24.111279345600000,152.717111079000006
43,Anous sp.,B39,-24.111280825300000,152.717112629000013
44,Crested Tern young,E1,-24.111275265000000,152.716592754999994
45,Crested Tern young,E2,-24.111307813400000,152.716565876999994
46,Anous sp.,B40,-24.111296274499999,152.716464959999996
47,Anous sp.,B41,-24.111274471100000,152.715924629999989
48,Anous sp.,B42,-24.111275563400000,152.715926548999988
49,Anous sp.,B43,-24.111313778800000,152.716122192999990
50,Anous sp.,B44,-24.111315262000002,152.716121431999994
51,Crested Tern Other,A2,-24.111325012399998,152.716572651000007
52,Anous sp.,B45,-24.111313429799999,152.716719278999989
53,Onychoprion sp.,D5,-24.111311750199999,152.716917284999994
54,Onychoprion sp.,D6,-24.111324445299999,152.716914575999994
55,Onychoprion sp.,D7,-24.111324728800000,152.716933159999996
56,Onychoprion sp.,D8,-24.111319428300000,152.716940313000009
57,Onychoprion sp.,D9,-24.111311074000000,152.716916975999993
58,Onychoprion sp.,D10,-24.111323289200001,152.716970352000004
59,Anous sp.,B46,-24.111325361399999,152.717039720999992
60,Anous sp.,B47,-24.111327390000000,152.717091170999993
61,Anous sp.,B48,-24.111311793799999,152.717121090999996
62,Anous sp.,B49,-24.111323049300001,152.717131595000012
63,Anous sp.,B50,-24.111328415199999,152.717137535999996
64,Anous sp.,B51,-24.111335417199999,152.717231572000003
65,Anous sp.,B52,-24.111328131699999,152.717129502999995
66,Anous sp.,B53,-24.111331752600002,152.717031831000014
