OID_,LAYER,NAME,LAT,LON
0,Crested Tern Adult,CT1,-24.112030901,152.717181844
1,Crested Tern Adult,CT2,-24.1120284105,152.717184181
2,Crested Tern Adult,CT3,-24.112028104,152.717181134
3,Crested Tern Adult,CT4,-24.1120271078,152.71718773
4,Crested Tern Adult,CT5,-24.1120282573,152.717191194
5,Crested Tern Adult,CT6,-24.11202956,152.717177711
6,Crested Tern Adult,CT7,-24.1120248089,152.717182762
7,Crested Tern Adult,CT8,-24.1120277209,152.717195744
8,Crested Tern Adult,CT9,-24.1120261883,152.717177711
9,Crested Tern Adult,CT10,-24.1120249239,152.717190025
10,Crested Tern Adult,CT11,-24.112024579,152.717185434
11,Crested Tern Adult,CT12,-24.112017874,152.717182846
12,Crested Tern Adult,CT13,-24.1120211307,152.717181677
13,Crested Tern Adult,CT14,-24.1120213606,152.717186185
14,Crested Tern Adult,CT15,-24.1120219736,152.717189817
15,Crested Tern Adult,CT16,-24.1120180655,152.717186603
16,Crested Tern Adult,CT17,-24.1120186786,152.717190526
17,Crested Tern Adult,CT18,-24.1120205177,152.717193782
18,Crested Tern Adult,CT19,-24.1120177207,152.717193365
19,Crested Tern Adult,CT20,-24.1120235207,152.717192889
20,Crested Tern Adult,CT21,-24.1120228273,152.717179817
21,Crested Tern Adult,CT22,-24.112019059,152.717196502
22,Crested Tern Adult,CT23,-24.112018245,152.717177518
23,Crested Tern Adult,CT24,-24.1120208979,152.717177223
24,Crested Tern Adult,CT25,-24.1120240332,152.717176073
25,Crested Tern Adult,CT26,-24.1120277659,152.717174577
26,Crested Tern Adult,CT27,-24.1120258209,152.717172303
27,Crested Tern Adult,CT28,-24.1120297584,152.717163594
28,Crested Tern Adult,CT29,-24.1120272678,152.717168788
29,Crested Tern Adult,CT30,-24.112022761,152.717172742
30,Crested Tern Adult,CT31,-24.1120194165,152.717174163
31,Crested Tern Adult,CT32,-24.1120198434,152.717170468
32,Crested Tern Adult,CT33,-24.1120234963,152.717169021
33,Crested Tern Adult,CT34,-24.1120256311,152.717164705
34,Crested Tern Adult,CT35,-24.1120216224,152.717162276
35,Crested Tern Adult,CT36,-24.1120209108,152.717165687
36,Crested Tern Adult,CT37,-24.1120179695,152.717167289
37,Crested Tern Adult,CT38,-24.112018017,152.71716287
38,Crested Tern Adult,CT39,-24.1120273152,152.717160157
39,Crested Tern Adult,CT40,-24.1120167417,152.717150487
40,Crested Tern Adult,CT41,-24.1120173822,152.717146016
41,Crested Tern Adult,CT42,-24.1120189714,152.717141856
42,Crested Tern Adult,CT43,-24.1120153318,152.717137229
43,Crested Tern Adult,CT44,-24.1120144274,152.717147673
44,Crested Tern Adult,CT45,-24.1120154826,152.717159727
45,Crested Tern Adult,CT46,-24.1120132517,152.717158742
46,Crested Tern Adult,CT47,-24.1120263625,152.717199498
47,Crested Tern Adult,CT48,-24.1120234684,152.717197199
48,Crested Tern Adult,CT49,-24.1120218103,152.717199826
49,Crested Tern Adult,CT50,-24.1120237397,152.717202618
50,Crested Tern Adult,CT51,-24.1120202427,152.717204884
51,Crested Tern Adult,CT52,-24.1120179817,152.717200188
52,Crested Tern Adult,CT53,-24.1120192478,152.71720853
53,Crested Tern Adult,CT54,-24.1120171979,152.717203833
54,Crested Tern Adult,CT55,-24.1120172883,152.717197363
55,Crested Tern Adult,CT56,-24.1120170471,152.717206592
56,Crested Tern Adult,CT57,-24.1120168361,152.717209515
57,Crested Tern Adult,CT58,-24.1120165346,152.717213293
58,Crested Tern Adult,CT59,-24.1120191115,152.717216117
59,Crested Tern Adult,CT60,-24.1120196798,152.717219396
60,Crested Tern Adult,CT61,-24.1120179956,152.717222446
61,Crested Tern Adult,CT62,-24.112016525,152.71721844
62,Crested Tern Adult,CT63,-24.1120017504,152.717143241
63,Crested Tern Adult,CT64,-24.1120030377,152.717145823
64,Crested Tern Adult,CT65,-24.1120048224,152.717141424
65,Crested Tern Adult,CT66,-24.1120056123,152.717144675
66,Crested Tern Adult,CT67,-24.1120110248,152.71714697
67,Crested Tern Adult,CT68,-24.1120017504,152.717148755
68,Crested Tern Adult,CT69,-24.1120048516,152.717148405
69,Crested Tern Adult,CT70,-24.1120079821,152.717148692
70,Crested Tern Adult,CT71,-24.1120102056,152.717150413
71,Crested Tern Adult,CT72,-24.1120072799,152.717151943
72,Crested Tern Adult,CT73,-24.1120126632,152.717155226
73,Crested Tern Adult,CT74,-24.112000902,152.717152134
74,Crested Tern Adult,CT75,-24.1120028329,152.717152931
75,Crested Tern Adult,CT76,-24.1120026866,152.717139512
76,Crested Tern Adult,CT77,-24.1120039739,152.717152931
77,Crested Tern Adult,CT78,-24.1120038277,152.71715666
78,Crested Tern Adult,CT79,-24.1120064022,152.717156788
79,Crested Tern Adult,CT80,-24.1120093572,152.717154333
80,Crested Tern Adult,CT81,-24.1120098838,152.71715733
